species,area,wc2.1_5m_bio_2,wc2.1_5m_bio_5,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_18,wc2.1_5m_bio_19,elev
Palicourea_callithrix,E,0.958300999,1.502024051,1.062487661,1.402663512,1.41332909,2.5774918,1.86923172,1.668903722,2.467577224,2.922725458,202
Palicourea_calophylla,E,0.935875397,1.50138738,1.046807217,1.405775947,1.417740129,2.592176757,1.857332496,1.700348179,2.469822016,2.936010796,119.5
Palicourea_calothyrsus,A,0.982798702,1.318230351,1.032739643,1.184416938,1.177810545,2.348304863,1.278753601,1.706478696,2.652246341,2.409933123,2157
Palicourea_canarina,A,1.00515546,1.392169151,1.076640455,1.262716018,1.255778884,2.195899652,1.819543936,1.39998842,2.475671188,2.398799944,1840
Palicourea_candida,A,0.980321593,1.37162194,1.043126423,1.242963585,1.252173149,2.450249108,2.017033339,1.429337007,2.653212514,2.865103975,1807
Palicourea_caprifoliacea,A,0.988844991,1.327399824,1.065206088,1.182989716,1.173705751,2.26245109,1.77815125,1.573635511,2.531478917,2.401400541,2413
Palicourea_cenepensis,E2,0.977262405,1.465338237,1.038500945,1.364666656,1.353755998,2.478528144,2.23758126,1.26775109,2.828659897,2.850646235,987
Palicourea_colorata,E2,0.979020739,1.495405549,1.052175453,1.396501567,1.411538327,2.494154594,1.643452676,1.778056642,2.59439255,2.888179494,493
Palicourea_conephoroides,E2,1.054651335,1.437782269,1.172515311,1.325673003,1.290824522,2.320146286,1.544068044,1.752478567,2.64246452,2.136720567,1460
Palicourea_coriacea,E,1.076203389,1.470865999,1.238271978,1.36408801,1.307631515,2.457881897,1,1.888680134,2.675778342,1.770852012,767
Palicourea_correae,C,0.908167696,1.446676937,1.036948132,1.353996348,1.363969035,2.565847819,1.491361694,1.74713347,2.655138435,2.951337519,763
Palicourea_corymbifera,E,0.969023543,1.50374983,1.053270652,1.4159772,1.422108106,2.499687083,1.86923172,1.662236378,2.640481437,2.892094603,133
Palicourea_crocea,E,0.998796812,1.497924344,1.132867803,1.408035165,1.374551713,2.440909082,1.716003344,1.679082514,2.670245853,2.428134794,216
Palicourea_croceoides,E,0.961547664,1.499288326,1.063070515,1.406491906,1.389313776,2.489958479,1.785329835,1.682163007,2.639486489,2.525044807,252
Palicourea_deflexa,E,0.986260281,1.485607857,1.098158959,1.383291628,1.377888801,2.499687083,1.612783857,1.731879755,2.648360011,2.797959644,401
Palicourea_demissa,A,0.946800106,1.330007684,1.014814454,1.220478552,1.229745813,2.356025857,1.568201724,1.630012073,2.668385917,2.688419822,1992
Palicourea_dichotoma,E,0.903542135,1.47852321,1.049101624,1.391601997,1.389423034,2.460897843,1.84509804,1.702678655,2.499687083,2.804139432,248
Palicourea_didymocarpos,E,1.016451814,1.49934337,1.129786528,1.410375064,1.388372103,2.472746602,1.72427587,1.718140028,2.713490543,2.421526022,241
Palicourea_diminuta,E,0.940325518,1.498186441,1.038421415,1.407390924,1.412863583,2.531478917,1.770852012,1.699739192,2.469822016,2.773054693,262
Palicourea_divaricata,F,0.869383321,1.454905805,1.051384031,1.365322583,1.345252801,2.190331698,1.86332286,1.32491077,2.499687083,2.469822016,321
Palicourea_domingensis,C,1.02253836,1.511495673,1.203848458,1.409321531,1.382761274,2.542191608,1.759651425,1.818645476,2.774880388,2.414973348,341
Palicourea_egensis,E,0.958394541,1.504919195,1.06866819,1.409361004,1.42456314,2.534026106,1.991226076,1.565793138,2.669316881,2.959041392,196
Palicourea_elata,C,0.959021521,1.416673773,1.075984674,1.293211478,1.310193965,2.619093331,1.698970004,1.722136495,2.630427875,2.846337112,1197
Palicourea_ernestii,E2,0.942504118,1.436299506,1.031852618,1.331373321,1.322061147,2.526339277,1.73239376,1.766328512,2.593286067,2.336459734,1037
Palicourea_eurycarpa,C,0.939905968,1.438573985,1.051113938,1.33725622,1.343539893,2.596597096,1.62324929,1.722136495,2.555094449,2.804139432,890
Palicourea_fanshawei,E2,0.946710119,1.453807398,1.036029722,1.35323641,1.344185894,2.514547753,1.73239376,1.720870697,2.611723308,2.439332694,769
Palicourea_flavescens,A,0.96893413,1.202542815,1.026819124,1.035603176,1.031415207,2.305351369,2.021189299,1.281518146,2.689308859,2.663700925,3007.5
Palicourea_flaviflora,E2,1.028499887,1.47824897,1.101850126,1.377964613,1.369243709,2.46686762,2.002117683,1.621904928,2.770852012,2.649330492,626
Palicourea_frontinoensis,A,0.965221333,1.471086259,1.030963855,1.380862183,1.381340747,2.550228353,2.068185862,1.463312477,2.826074803,2.945960704,783
Palicourea_fuchsioides,A,0.993362741,1.255537818,1.03261875,1.11212444,1.099289201,2.164352856,1.301029996,1.685530893,2.557507202,2.029383778,2741
