"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"1627","Palicourea_egensis","Palicourea_rigida",3.076,62.1595
"1628","Palicourea_polycephala","Palicourea_rigida",4.7994,90.0116
"1629","Palicourea_deflexa","Palicourea_rigida",71.6111,74.5466
"1630","Palicourea_woronovii","Palicourea_rigida",57.5971,4.0231
"1631","Palicourea_bangii","Palicourea_rigida",67.9147,46.5738
"1632","Palicourea_flavifolia","Palicourea_rigida",86.0373,50.7747
"1633","Palicourea_reticulata","Palicourea_rigida",85.5356,28.8547
"1634","Palicourea_stipularis","Palicourea_rigida",22.779,97.407
"1635","Palicourea_flavescens","Palicourea_rigida",5.6544,3.24
"1636","Palicourea_stenosepala","Palicourea_rigida",14.1428,29.2415
"1637","Palicourea_lineata","Palicourea_rigida",94.0213,18.1301
"1638","Palicourea_padifolia","Palicourea_rigida",53.4363,33.0813
"1639","Palicourea_lehmannii","Palicourea_rigida",0.9884,63.0876
"1640","Palicourea_thyrsiflora","Palicourea_rigida",27.947,97.9273
"1641","Palicourea_demissa","Palicourea_rigida",38.4799,10.4847
"1642","Palicourea_amethystina","Palicourea_rigida",95.0866,9.6028
"1643","Palicourea_standleyana","Palicourea_rigida",11.3799,1.7824
"1644","Palicourea_seemannii","Palicourea_rigida",9.56,13.6079
"1645","Palicourea_pyramidalis","Palicourea_rigida",1.8835,6.8142
"1646","Palicourea_luteonivea","Palicourea_rigida",52.4708,43.5867
"1647","Palicourea_sulphurea","Palicourea_rigida",21.4912,94.4651
"1648","Palicourea_apicata","Palicourea_rigida",71.2716,6.9033
"1649","Palicourea_loxensis","Palicourea_rigida",4.8436,16.2754
"1650","Palicourea_angustifolia","Palicourea_rigida",27.3901,9.5065
"1651","Palicourea_tetragona","Palicourea_rigida",59.3373,21.5554
"1652","Palicourea_domingensis","Palicourea_rigida",45.3512,80.6898
"1653","Palicourea_pubescens","Palicourea_rigida",59.9847,83.7916
"1654","Palicourea_correae","Palicourea_rigida",1.6101,24.8897
"1655","Palicourea_elata","Palicourea_rigida",19.3321,22.3402
"1656","Palicourea_berteroana","Palicourea_rigida",74.388,46.135
"1657","Palicourea_petiolaris","Palicourea_rigida",65.8235,42.5204
"1658","Palicourea_timbiquensis","Palicourea_rigida",9.2326,0.4534
"1659","Palicourea_acanthacea","Palicourea_rigida",1.8229,11.0496
"1660","Palicourea_brachiata","Palicourea_rigida",13.6704,44.2282
"1661","Palicourea_glomerulata","Palicourea_rigida",4.4767,29.7553
"1662","Palicourea_conephoroides","Palicourea_rigida",83.6085,70.4243
"1663","Palicourea_tinctoria","Palicourea_rigida",58.1805,79.8708
"1664","Palicourea_jelskii","Palicourea_rigida",49.6928,31.2273
"1665","Palicourea_allenii","Palicourea_rigida",40.5406,30.8566
"1666","Palicourea_cyanococca","Palicourea_rigida",5.7922,31.891
"1667","Palicourea_hazenii","Palicourea_rigida",39.891,18.5813
"1668","Palicourea_tomentosa","Palicourea_rigida",42.4092,27.3119
"1669","Psychotria_rosea","Palicourea_rigida",63.0028,21.312
"1670","Psychotria_suterella","Palicourea_rigida",51.2892,36.5906
"1671","Palicourea_brachypoda","Palicourea_rigida",9.7964,82.7337
"1672","Palicourea_sessilis","Palicourea_rigida",56.9805,68.8889
"1673","Palicourea_divaricata","Palicourea_rigida",10.8064,57.2143
"1674","Palicourea_racemosa","Palicourea_rigida",60.4053,67.0955
"1675","Palicourea_subfusca","Palicourea_rigida",42.1049,77.6564
"1676","Palicourea_topoensis","Palicourea_rigida",14.9731,1.015
"1677","Palicourea_brevicollis","Palicourea_rigida",57.4987,49.5158
"1679","Palicourea_polycephala","Palicourea_egensis",61.2109,68.5109
"1680","Palicourea_deflexa","Palicourea_egensis",99.4132,18.109
"1681","Palicourea_woronovii","Palicourea_egensis",73.3599,76.4978
"1682","Palicourea_bangii","Palicourea_egensis",12.9985,0.1668
"1683","Palicourea_flavifolia","Palicourea_egensis",0.4418,36.246
"1684","Palicourea_reticulata","Palicourea_egensis",0.3173,63.7899
"1685","Palicourea_stipularis","Palicourea_egensis",0.2047,66.5833
"1686","Palicourea_flavescens","Palicourea_egensis",0.1982,8.4482
"1687","Palicourea_stenosepala","Palicourea_egensis",1.1755,63.1815
"1688","Palicourea_lineata","Palicourea_egensis",0.2931,70.7348
"1689","Palicourea_padifolia","Palicourea_egensis",0.2717,12.2695
"1690","Palicourea_lehmannii","Palicourea_egensis",10.8365,9.5796
"1691","Palicourea_thyrsiflora","Palicourea_egensis",0.5976,91.7526
"1692","Palicourea_demissa","Palicourea_egensis",87.9853,1.1431
"1693","Palicourea_amethystina","Palicourea_egensis",47.5615,0.077
"1694","Palicourea_standleyana","Palicourea_egensis",6.3913,34.8883
"1695","Palicourea_seemannii","Palicourea_egensis",7.6233,83.1715
"1696","Palicourea_pyramidalis","Palicourea_egensis",3.8318,34.3646
"1697","Palicourea_luteonivea","Palicourea_egensis",7.9508,93.0982
"1698","Palicourea_sulphurea","Palicourea_egensis",1.418,97.6405
"1699","Palicourea_apicata","Palicourea_egensis",89.7695,0.4272
"1700","Palicourea_loxensis","Palicourea_egensis",0.6209,4.3247
"1701","Palicourea_angustifolia","Palicourea_egensis",78.526,1.1294
"1702","Palicourea_tetragona","Palicourea_egensis",42.2192,96.223
"1703","Palicourea_domingensis","Palicourea_egensis",71.535,22.1639
"1704","Palicourea_pubescens","Palicourea_egensis",10.9789,82.367
"1705","Palicourea_correae","Palicourea_egensis",48.8566,24.9073
"1706","Palicourea_elata","Palicourea_egensis",8.8856,94.0049
"1707","Palicourea_berteroana","Palicourea_egensis",98.8418,10.8837
"1708","Palicourea_petiolaris","Palicourea_egensis",0.6367,29.3161
"1709","Palicourea_timbiquensis","Palicourea_egensis",25.0574,16.6261
"1710","Palicourea_acanthacea","Palicourea_egensis",26.7523,14.4839
"1711","Palicourea_brachiata","Palicourea_egensis",96.8391,45.5697
"1712","Palicourea_glomerulata","Palicourea_egensis",60.1962,80.025
"1713","Palicourea_conephoroides","Palicourea_egensis",91.887,3.8398
"1714","Palicourea_tinctoria","Palicourea_egensis",4.132,90.5109
"1715","Palicourea_jelskii","Palicourea_egensis",0.0746,4.96
"1716","Palicourea_allenii","Palicourea_egensis",83.4924,12.3704
"1717","Palicourea_cyanococca","Palicourea_egensis",86.7104,38.7222
"1718","Palicourea_hazenii","Palicourea_egensis",2.1904,81.8918
"1719","Palicourea_tomentosa","Palicourea_egensis",34.3779,99.7524
"1720","Psychotria_rosea","Palicourea_egensis",54.5191,98.4585
"1721","Psychotria_suterella","Palicourea_egensis",0.0065,0.0147
"1722","Palicourea_brachypoda","Palicourea_egensis",1.3124,0.967
"1723","Palicourea_sessilis","Palicourea_egensis",0.006,0.103
"1724","Palicourea_divaricata","Palicourea_egensis",16.1859,3.9631
"1725","Palicourea_racemosa","Palicourea_egensis",30.0477,99.7476
"1726","Palicourea_subfusca","Palicourea_egensis",12.4963,99.9546
"1727","Palicourea_topoensis","Palicourea_egensis",3.5698,10.3024
"1728","Palicourea_brevicollis","Palicourea_egensis",0.4559,0.0355
"1730","Palicourea_deflexa","Palicourea_polycephala",99.4561,18.5713
"1731","Palicourea_woronovii","Palicourea_polycephala",56.3086,53.4409
"1732","Palicourea_bangii","Palicourea_polycephala",23.9276,0.2965
"1733","Palicourea_flavifolia","Palicourea_polycephala",49.7506,0.6583
"1734","Palicourea_reticulata","Palicourea_polycephala",0.3351,63.6885
"1735","Palicourea_stipularis","Palicourea_polycephala",0.3984,89.4023
"1736","Palicourea_flavescens","Palicourea_polycephala",24.0511,0.4715
"1737","Palicourea_stenosepala","Palicourea_polycephala",0.7455,39.2006
"1738","Palicourea_lineata","Palicourea_polycephala",86.4054,0.3571
"1739","Palicourea_padifolia","Palicourea_polycephala",10.1026,0.206
"1740","Palicourea_lehmannii","Palicourea_polycephala",13.5744,17.9384
"1741","Palicourea_thyrsiflora","Palicourea_polycephala",0.865,97.8592
"1742","Palicourea_demissa","Palicourea_polycephala",96.1768,1.3687
"1743","Palicourea_amethystina","Palicourea_polycephala",82.7062,0.144
"1744","Palicourea_standleyana","Palicourea_polycephala",6.5132,42.7318
"1745","Palicourea_seemannii","Palicourea_polycephala",4.5601,82.4433
"1746","Palicourea_pyramidalis","Palicourea_polycephala",2.5922,29.2384
"1747","Palicourea_luteonivea","Palicourea_polycephala",92.9457,6.5385
"1748","Palicourea_sulphurea","Palicourea_polycephala",1.373,98.6468
"1749","Palicourea_apicata","Palicourea_polycephala",97.4218,0.4819
"1750","Palicourea_loxensis","Palicourea_polycephala",1.8868,0.4088
"1751","Palicourea_angustifolia","Palicourea_polycephala",92.4866,1.6223
