"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev","pollinator"
"Palicourea_justiciifolia",0.423649118049427,0.0592062558681708,0.0372395626305358,0.0751882344541618,0.0329246907764786,0.0685372154458962,0.155563862241575,0.371878672057671,0.186120141245133,0.211955121349574,0.402672001928164,318.188534895361,NA
"Palicourea_lachnantha",0.414319800377884,0.0259572270773778,0.00876751926750729,0.0246580253612117,0.0111011554214758,0.0115975585377544,0.0459670776485613,0.146421656735756,0.138788496540263,0.0498381962103701,0.173954181314096,129.812773879545,NA
"Palicourea_lasiantha",0.427783146487701,0.0460909599493568,0.0368889859187969,0.0754165201066246,0.0455226156477678,0.0469998146966114,0.139092032070686,0.365315495421614,0.198589912320373,0.169645600528077,0.337647117339103,463.089088633069,NA
"Palicourea_lasiorrhachis",0.427919871400485,0.0255958022322201,0.0674380728455848,0.0277412537034452,0.0818587341378478,0.09227971102183,0.0970948165741168,0.261291641175885,0.124270063376659,0.132261131900342,0.210674261382791,538.82893622805,NA
"Palicourea_lehmannii",0.390766436426045,0.0179294204603768,0.0486623247313441,0.0319536772032681,0.0489840858083276,0.0568231756028375,0.114810310499117,0.233308472757422,0.101476185651416,0.148025413239383,0.104655149004113,500.932535987386,NA
"Palicourea_lineata",0.422702123630349,0.0637153003372688,0.0911835136151347,0.0838946883969573,0.128988877594174,0.145003275902982,0.141437766758735,0.294993554480657,0.154656323399972,0.166272689819847,0.35398538347295,877.169322762565,NA
"Palicourea_lobbii",0.406528155865335,0.023402070624113,0.0429645512273608,0.0223446878738301,0.0604734212973759,0.072502671812502,0.102848133671798,0.253355667163573,0.12640180031481,0.09916341049937,0.224306800998207,400.92954143949,NA
"Palicourea_locuples",0.390308179574176,0.0367216407018544,0.068094748340172,0.0430087054176109,0.0857094582829013,0.0869410169710327,0.144188152392281,0.235465276761882,0.107901452669843,0.168796019928472,0.174933697323774,629.858928741145,NA
"Palicourea_longiflora",0.426832441584934,0.0597781391892805,0.020562358468589,0.0663857967964461,0.0231048829623804,0.0306831501695678,0.0699650465202988,0.320956138616337,0.110900305336863,0.152084498650848,0.276177376905551,257.879368861237,NA
"Palicourea_loxensis",0.415988013241016,0.0194119505569899,0.0371230175414528,0.0195815237271686,0.0485525964370709,0.0537253087149611,0.105715323872567,0.108454044644664,0.115067568396917,0.109725972710491,0.175663706967196,405.450679298,NA
"Palicourea_luteonivea",0.421263392880724,0.0323629714826481,0.0460240272088216,0.047110480566992,0.060931877130531,0.0664205061982381,0.126258901553965,0.315593199755444,0.180924787167831,0.147335469419591,0.284859529058644,521.266981125027,NA
"Palicourea_macarthurorum",0.412907115579767,0.0403126260696319,0.0421141798956787,0.0317716819585665,0.0588181913477021,0.0546396656061463,0.104899924231757,0.170720534758015,0.0978103708152896,0.126249253168832,0.139493252414847,570.570463855773,NA
"Palicourea_macbridei",0.398834360259742,0.0147529208838555,0.0554261245344859,0.0191994118319815,0.0906133312743716,0.0923470308320561,0.0781982151055422,0.128042310073352,0.0338936997983209,0.106625683652602,0.130799950194353,713.672093345561,NA
"Palicourea_macrobotrys",0.426326870325417,0.0486840899890935,0.0390105774305987,0.0691660112904518,0.0516347136628628,0.0680383768964986,0.149151569488766,0.368802118207178,0.150723088935122,0.168078549162913,0.290259210180664,568.009733611063,NA
"Palicourea_mansoana",0.424902213702439,0.0380704085056272,0.0321343675469848,0.0661361308932439,0.0418063433943394,0.0445915774854347,0.125561935018581,0.387279300487038,0.211796108180072,0.127573139306615,0.350814948432918,458.942410601358,NA
"Palicourea_marcgravii",0.430123547249069,0.0588181849241527,0.0363855891149554,0.0650041621244338,0.0365027685322641,0.0710722439122952,0.142553195932124,NA,0.126127970638227,0.194007180600203,0.417544352864965,350.97460777301,NA
"Palicourea_mediocris",0.352956658486791,0.0359686900693432,0.0490715740512218,0.0438110661845718,0.0620086595230604,0.0646263358897383,0.107434757734458,0.148834578166694,0.0524047794269785,0.120718956769284,0.161871814068525,607.669231356041,NA
"Palicourea_minutiflora",0.409774522492107,0.0990249257067793,0.0279473107766294,0.0793673030852204,0.0293906789894722,0.040075310155538,0.128495223288064,0.508590066781889,0.318235697800315,0.230322089384724,0.350178713544495,200.542588467567,NA
"Palicourea_nigricans",0.426717665029826,0.044481881987259,0.0257908066809113,0.0483059468348826,0.0345394693382154,0.0382667323479427,0.0944423272061488,0.235264212322102,0.177253822440191,0.109104725706181,0.280778881140297,390.911046520932,NA
"Palicourea_nitidella",0.427477235432264,0.0642561709546998,0.0196421300610532,0.083968737299646,0.0139464175408845,0.0223885225438025,0.0681768349263995,0.488261859063687,0.1591593282721,0.175297132987823,0.363890296886148,175.078709237911,NA
"Palicourea_officinalis",0.424498329698887,0.021035221235735,0.0242357173546623,0.0190994706389618,0.0261322994840997,0.034210877505316,0.0368839144549091,0.187178404180248,0.0266437911969336,0.0627550864019218,0.154383204948064,238.535574669499,NA
