Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
122	0	-47.39892	-50.60651	3.207587	0.01167249	0.0116725	0.0116725	0.0116725	0.0116725	0.0116725	0.0116725
123	1	-47.29924	-50.08078	2.781537	0.02261183	0.0226118	0.0226118	0.0226118	0.0226118	0.0226118	0.0226118
124	0	-47.29137	-50.48386	3.192487	0.01206021	0.0120602	0.0120602	0.0120602	0.0120602	0.0120602	0.0120602
125	1	-46.85838	-49.95528	3.096903	0.01451445	0.0145144	0.0145144	0.0145144	0.0145144	0.0145144	0.0145144
126	0	-46.76388	-49.80448	3.040595	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602	0.0159602
127	1	-46.85838	-49.95528	3.096903	0.01451445	0.0145144	0.0145144	0.0145144	0.0145144	0.0145144	0.0145144
128	0	-46.91403	-49.80654	2.892511	0.01976246	0.0197625	0.0197625	0.0197625	0.0197625	0.0197625	0.0197625
129	1	-47.34696	-50.54747	3.200508	0.01185426	0.0118543	0.0118543	0.0118543	0.0118543	0.0118543	0.0118543
130	0	-46.76734	-49.81193	3.044583	0.01585781	0.0158578	0.0158578	0.0158578	0.0158578	0.0158578	0.0158578
131	1	-47.80978	-51.06343	3.253646	0.01048987	0.0104899	0.0104899	0.0104899	0.0104899	0.0104899	0.0104899
132	0	-47.07049	-49.91112	2.840629	0.02109458	0.0210946	0.0210946	0.0210946	0.0210946	0.0210946	0.0210946
133	1	-47.80978	-51.06343	3.253646	0.01048987	0.0104899	0.0104899	0.0104899	0.0104899	0.0104899	0.0104899
134	0	-47.47638	-50.21881	2.742436	0.02361581	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158
135	1	-50.86141	-54.2801	3.418696	0.006252027	0.00625203	0.00625203	0.00625203	0.00625203	0.00625203	0.00625203
136	0	-47.47638	-50.21881	2.742436	0.02361581	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158	0.0236158
137	1	-47.62475	-50.85946	3.234711	0.01097605	0.0109761	0.0109761	0.0109761	0.0109761	0.0109761	0.0109761
138	0	-46.80026	-49.87006	3.069804	0.01521024	0.0152102	0.0152102	0.0152102	0.0152102	0.0152102	0.0152102
139	1	-47.17086	-50.344	3.173136	0.01255705	0.0125571	0.0125571	0.0125571	0.0125571	0.0125571	0.0125571
140	0	-46.76522	-49.80743	3.042203	0.01591894	0.0159189	0.0159189	0.0159189	0.0159189	0.0159189	0.0159189
141	1	-47.79704	-50.47687	2.679828	0.02522334	0.0252233	0.0252233	0.0252233	0.0252233	0.0252233	0.0252233
142	0	-46.75258	-49.76944	3.016867	0.01656947	0.0165695	0.0165695	0.0165695	0.0165695	0.0165695	0.0165695
143	1	-48.03272	-50.6709	2.638172	0.02629291	0.0262929	0.0262929	0.0262929	0.0262929	0.0262929	0.0262929
144	0	-46.7892	-49.74535	2.956152	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284	0.0181284
145	1	-46.76754	-49.74358	2.976042	0.01761769	0.0176177	0.0176177	0.0176177	0.0176177	0.0176177	0.0176177
146	0	-46.99683	-49.86006	2.863231	0.02051425	0.0205143	0.0205143	0.0205143	0.0205143	0.0205143	0.0205143
147	1	-47.11269	-49.94136	2.828671	0.02140161	0.0214016	0.0214016	0.0214016	0.0214016	0.0214016	0.0214016
148	0	-47.12186	-49.94801	2.826152	0.02146629	0.0214663	0.0214663	0.0214663	0.0214663	0.0214663	0.0214663
149	1	-46.79222	-49.85705	3.064831	0.01533793	0.0153379	0.0153379	0.0153379	0.0153379	0.0153379	0.0153379
150	0	-46.97046	-49.84247	2.872009	0.02028887	0.0202889	0.0202889	0.0202889	0.0202889	0.0202889	0.0202889
151	1	-48.23046	-51.51994	3.289474	0.00956996	0.00956996	0.00956996	0.00956996	0.00956996	0.00956996	0.00956996
152	0	-47.28292	-50.06829	2.785372	0.02251337	0.0225134	0.0225134	0.0225134	0.0225134	0.0225134	0.0225134
153	1	-48.74862	-52.07324	3.324622	0.008667485	0.00866749	0.00866749	0.00866749	0.00866749	0.00866749	0.00866749
154	0	-47.32217	-50.0984	2.776225	0.02274824	0.0227482	0.0227482	0.0227482	0.0227482	0.0227482	0.0227482
155	1	-48.74862	-52.07324	3.324622	0.008667485	0.00866749	0.00866749	0.00866749	0.00866749	0.00866749	0.00866749
