Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
150	-46.75998	-49.79525	3.03527	0.01609693	0.0160969	0.0160969	0.0160969	0.0160969	0.0160969	0.0160969
151	-46.86602	-49.77864	2.912622	0.01924609	0.0192461	0.0192461	0.0192461	0.0192461	0.0192461	0.0192461
152	-46.78203	-49.83973	3.057699	0.01552105	0.0155211	0.0155211	0.0155211	0.0155211	0.0155211	0.0155211
153	-47.09516	-49.92872	2.833565	0.02127597	0.021276	0.021276	0.021276	0.021276	0.021276	0.021276
154	-47.09516	-49.92872	2.833565	0.02127597	0.021276	0.021276	0.021276	0.021276	0.021276	0.021276
155	-47.15199	-49.97003	2.818046	0.02167442	0.0216744	0.0216744	0.0216744	0.0216744	0.0216744	0.0216744
156	-46.93787	-49.82139	2.88352	0.01999331	0.0199933	0.0199933	0.0199933	0.0199933	0.0199933	0.0199933
157	-46.87173	-49.78179	2.910051	0.01931208	0.0193121	0.0193121	0.0193121	0.0193121	0.0193121	0.0193121
158	-47.00932	-50.15022	3.140896	0.01338487	0.0133849	0.0133849	0.0133849	0.0133849	0.0133849	0.0133849
159	-47.15555	-49.97265	2.817106	0.02169857	0.0216986	0.0216986	0.0216986	0.0216986	0.0216986	0.0216986
160	-47.40419	-50.16206	2.757869	0.02321954	0.0232195	0.0232195	0.0232195	0.0232195	0.0232195	0.0232195
161	-47.26108	-50.05166	2.790577	0.02237972	0.0223797	0.0223797	0.0223797	0.0223797	0.0223797	0.0223797
162	-46.79252	-49.85755	3.065031	0.0153328	0.0153328	0.0153328	0.0153328	0.0153328	0.0153328	0.0153328
163	-46.83352	-49.92019	3.086671	0.01477717	0.0147772	0.0147772	0.0147772	0.0147772	0.0147772	0.0147772
164	-48.09517	-51.374	3.278836	0.009843088	0.00984309	0.00984309	0.00984309	0.00984309	0.00984309	0.00984309
165	-49.06273	-52.4054	3.342671	0.008204038	0.00820404	0.00820404	0.00820404	0.00820404	0.00820404	0.00820404
166	-50.02264	-53.4104	3.387764	0.007046242	0.00704624	0.00704624	0.00704624	0.00704624	0.00704624	0.00704624
167	-47.88841	-51.14943	3.261014	0.01030069	0.0103007	0.0103007	0.0103007	0.0103007	0.0103007	0.0103007
168	-47.13564	-50.30249	3.166848	0.01271851	0.0127185	0.0127185	0.0127185	0.0127185	0.0127185	0.0127185
169	-47.41725	-50.62725	3.209999	0.01161057	0.0116106	0.0116106	0.0116106	0.0116106	0.0116106	0.0116106
170	-49.06511	-52.40791	3.342801	0.008200715	0.00820071	0.00820071	0.00820071	0.00820071	0.00820071	0.00820071
171	-47.16318	-50.33497	3.171793	0.01259156	0.0125916	0.0125916	0.0125916	0.0125916	0.0125916	0.0125916
172	-47.16318	-50.33497	3.171793	0.01259156	0.0125916	0.0125916	0.0125916	0.0125916	0.0125916	0.0125916
173	-49.0297	-52.37056	3.340867	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038
174	-49.0297	-52.37056	3.340867	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038	0.00825038
175	-48.36066	-51.65973	3.299068	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361
176	-48.36066	-51.65973	3.299068	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361	0.00932361
177	-49.98321	-53.36935	3.386145	0.007087813	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781
178	-49.98321	-53.36935	3.386145	0.007087813	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781
179	-49.98321	-53.36935	3.386145	0.007087813	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781	0.00708781
180	-49.96727	-53.35275	3.385485	0.007104741	0.00710474	0.00710474	0.00710474	0.00710474	0.00710474	0.00710474
181	-48.6604	-51.97957	3.319162	0.008807668	0.00880767	0.00880767	0.00880767	0.00880767	0.00880767	0.00880767
182	-47.89554	-51.1572	3.261665	0.01028399	0.010284	0.010284	0.010284	0.010284	0.010284	0.010284
183	-46.97443	-49.84509	2.87066	0.02032349	0.0203235	0.0203235	0.0203235	0.0203235	0.0203235	0.0203235
184	-46.75843	-49.79122	3.032784	0.01616078	0.0161608	0.0161608	0.0161608	0.0161608	0.0161608	0.0161608
185	-46.81188	-49.75266	2.940781	0.01852307	0.0185231	0.0185231	0.0185231	0.0185231	0.0185231	0.0185231
186	-46.81188	-49.75266	2.940781	0.01852307	0.0185231	0.0185231	0.0185231	0.0185231	0.0185231	0.0185231
187	-47.49703	-50.23516	2.738129	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264
188	-47.49703	-50.23516	2.738129	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264	0.0237264
189	-47.37268	-50.13749	2.764809	0.02304136	0.0230414	0.0230414	0.0230414	0.0230414	0.0230414	0.0230414
190	-47.40839	-50.16534	2.756954	0.02324305	0.023243	0.023243	0.023243	0.023243	0.023243	0.023243
191	-46.76145	-49.7454	2.983944	0.01741479	0.0174148	0.0174148	0.0174148	0.0174148	0.0174148	0.0174148
192	-47.00297	-49.86422	2.861243	0.02056528	0.0205653	0.0205653	0.0205653	0.0205653	0.0205653	0.0205653
193	-46.84404	-49.76714	2.923096	0.01897714	0.0189771	0.0189771	0.0189771	0.0189771	0.0189771	0.0189771
194	-47.79502	-50.47522	2.6802	0.02521379	0.0252138	0.0252138	0.0252138	0.0252138	0.0252138	0.0252138
195	-47.79502	-50.47522	2.6802	0.02521379	0.0252138	0.0252138	0.0252138	0.0252138	0.0252138	0.0252138
196	-46.79991	-49.74837	2.948468	0.01832568	0.0183257	0.0183257	0.0183257	0.0183257	0.0183257	0.0183257
197	-48.05874	-50.69248	2.633743	0.02640664	0.0264066	0.0264066	0.0264066	0.0264066	0.0264066	0.0264066
198	-48.05874	-50.69248	2.633743	0.02640664	0.0264066	0.0264066	0.0264066	0.0264066	0.0264066	0.0264066
199	-48.99416	-51.48335	2.489196	0.03011805	0.0301181	0.0301181	0.0301181	0.0301181	0.0301181	0.0301181
200	-48.7679	-51.28999	2.522089	0.02927347	0.0292735	0.0292735	0.0292735	0.0292735	0.0292735	0.0292735
201	-46.95502	-50.08242	3.127402	0.01373133	0.0137313	0.0137313	0.0137313	0.0137313	0.0137313	0.0137313
202	-48.49401	-51.80234	3.308324	0.009085951	0.00908595	0.00908595	0.00908595	0.00908595	0.00908595	0.00908595
203	-48.04382	-51.31842	3.2746	0.009951859	0.00995186	0.00995186	0.00995186	0.00995186	0.00995186	0.00995186
204	-47.97056	-51.23891	3.268346	0.01011243	0.0101124	0.0101124	0.0101124	0.0101124	0.0101124	0.0101124
205	-48.31646	-51.61234	3.295876	0.009405557	0.00940556	0.00940556	0.00940556	0.00940556	0.00940556	0.00940556
206	-47.43731	-50.6499	3.212589	0.01154406	0.0115441	0.0115441	0.0115441	0.0115441	0.0115441	0.0115441
207	-46.83611	-49.76326	2.92715	0.01887304	0.018873	0.018873	0.018873	0.018873	0.018873	0.018873
208	-48.20233	-51.48966	3.287321	0.009625226	0.00962523	0.00962523	0.00962523	0.00962523	0.00962523	0.00962523
209	-47.12101	-49.94739	2.826384	0.02146035	0.0214603	0.0214603	0.0214603	0.0214603	0.0214603	0.0214603
210	-46.76263	-49.74489	2.98226	0.01745805	0.017458	0.017458	0.017458	0.017458	0.017458	0.017458
211	-47.01858	-50.1616	3.143025	0.01333021	0.0133302	0.0133302	0.0133302	0.0133302	0.0133302	0.0133302
212	-47.46312	-50.67897	3.215851	0.01146031	0.0114603	0.0114603	0.0114603	0.0114603	0.0114603	0.0114603
213	-46.75258	-49.75781	3.005234	0.01686815	0.0168682	0.0168682	0.0168682	0.0168682	0.0168682	0.0168682
