Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
53	1	-172.8593	-175.5316	2.672291	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988
54	0	-173.6802	-176.8736	3.193403	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498
55	1	-173.2723	-176.3829	3.110561	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334
56	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
57	1	-173.2723	-176.3829	3.110561	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334
58	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
59	1	-172.911	-175.9089	2.997945	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222
60	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
61	1	-173.4606	-175.9125	2.45198	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964
62	0	-173.2445	-176.3483	3.103778	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952
63	1	-173.7472	-176.9521	3.204878	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301
64	0	-172.7241	-175.5325	2.808474	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104
65	1	-173.2256	-176.3246	3.099028	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588
66	0	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
67	1	-173.2256	-176.3246	3.099028	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588	0.01493588
68	0	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
69	1	-173.6165	-176.0276	2.411145	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809	0.02164809
70	0	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
71	1	-173.0958	-176.1592	3.06345	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304	0.01528304
72	0	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
73	1	-173.7386	-176.1198	2.381235	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995	0.02193995
74	0	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
75	1	-172.9953	-176.0262	3.030864	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101	0.01560101
76	0	-172.7287	-175.5898	2.861132	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721
77	1	-173.1511	-175.6974	2.546292	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936
78	0	-172.7287	-175.5898	2.861132	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721	0.01725721
79	1	-173.1511	-175.6974	2.546292	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936	0.02032936
80	0	-172.7265	-175.5818	2.855287	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425	0.01731425
81	1	-172.7369	-175.5143	2.777386	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439
82	0	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
83	1	-172.7369	-175.5143	2.777386	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439	0.01807439
84	0	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
85	1	-173.6379	-176.0437	2.405774	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005	0.0217005
86	0	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
87	1	-172.7376	-175.6159	2.878252	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016	0.01709016
88	0	-172.7333	-175.6043	2.870915	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175	0.01716175
89	1	-172.8519	-175.8217	2.969784	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701	0.01619701
90	0	-172.7348	-175.5159	2.781095	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382
91	1	-172.7287	-175.5899	2.861201	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654	0.01725654
92	0	-172.7348	-175.5159	2.781095	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382	0.0180382
93	1	-172.7804	-175.5078	2.727435	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618	0.0185618
94	0	-172.8645	-175.8408	2.976301	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342	0.01613342
95	1	-172.7802	-175.5078	2.727587	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032
96	0	-173.6198	-176.0301	2.410311	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623	0.02165623
97	1	-172.7802	-175.5078	2.727587	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032	0.01856032
98	0	-173.1562	-176.237	3.080764	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409	0.01511409
99	1	-172.722	-175.5551	2.833083	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091
100	0	-172.8176	-175.7678	2.950157	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852	0.01638852
101	1	-172.722	-175.5551	2.833083	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091	0.01753091
102	0	-172.996	-176.0271	3.031106	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864	0.01559864
103	1	-172.7223	-175.5585	2.836246	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004
104	0	-174.4747	-177.7826	3.307864	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981	0.0128981
105	1	-172.7223	-175.5585	2.836246	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004	0.01750004
106	0	-172.8592	-175.5316	2.672359	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922	0.01909922
107	1	-172.7342	-175.6067	2.87249	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639	0.01714639
108	0	-176.0275	-177.992	1.964499	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637	0.02600637
109	1	-173.7258	-176.927	3.20126	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831	0.01393831
110	0	-175.4765	-177.5269	2.050426	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791	0.02516791
111	1	-172.7265	-175.5819	2.85535	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363	0.01731363
112	0	-173.0084	-175.6085	2.600134	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398	0.01980398
113	1	-172.7228	-175.5633	2.840441	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912	0.01745912
114	0	-173.3288	-175.8183	2.489483	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369
115	1	-172.7224	-175.56	2.837546	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736	0.01748736
116	0	-173.1573	-176.2383	3.081052	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128
117	1	-172.7951	-175.7303	2.935204	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443	0.01653443
118	0	-173.1078	-175.6694	2.56162	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979
119	1	-173.4716	-175.9206	2.44897	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901
120	0	-173.1078	-175.6694	2.56162	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979
121	1	-172.7475	-175.6394	2.891921	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678
122	0	-172.9386	-175.948	3.009461	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985
