Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
51	1	-125.9417	-166.8225	40.8808	0.0001551276	0.009846124	0.0092144	0.005816872	0.001049438	0.01078015	0.03137198	0.009312142	0.002118038	0.003672678	0.02269126	0.05465559	0.327163	0.0643655	0.313468	0.295004
52	0	-122.4166	-163.795	41.37842	0.0009903028	0.007503134	0.01044177	0.0007630828	0.0008105522	0.00194772	0.02485939	0.007211652	0.009712513	0.009937078	0.02732146	0.05432946	0.343261	0.0196924	0.2403	0.396746
53	1	-124.9995	-166.3459	41.34638	0.0001469539	0.009846124	0.01004843	0.00203614	0.0009371603	0.01495971	0.03387145	0.009312142	0.003394185	0.003324199	0.02269126	0.04557302	0.333697	0.0656509	0.319728	0.280925
54	0	-122.6581	-164.8191	42.16099	0.0009903028	0.01109253	0.01044177	0.001174319	0.0008105522	0.002176956	0.03471948	0.0129689	0.008062524	0.003231266	0.01818825	0.0443351	0.370346	0.0212462	0.55963	0.0487775
55	1	-128.3602	-164.7776	36.41744	0.0001295981	0.01848799	0.00774634	0.00203614	0.001392995	0.01443969	0.03387145	0.009312142	0.003772471	0.002319912	0.03085588	0.07987174	0.342525	0.0647811	0.315491	0.277203
56	0	-126.5574	-164.7365	38.17915	0.0009172657	0.01109253	0.02113664	0.00158412	0.0004832911	0.01009319	0.0344865	0.01286681	0.005659763	0.005351995	0.021959	0.0614148	0.370346	0.0212462	0.55963	0.0487775
57	1	-127.5566	-166.7814	39.22474	0.0001223869	0.01318659	0.00774634	0.002151107	0.001985116	0.01443969	0.02200201	0.006653393	0.003772471	0.002580384	0.02233206	0.07987174	0.341314	0.131608	0.304524	0.222554
58	0	-125.1177	-166.4495	41.33177	0.0006315995	0.0077076	0.01486918	0.00165328	0.0003441209	0.008319805	0.0221595	0.01286681	0.007472912	0.005283646	0.02830324	0.04667165	0.728563	0.0417966	0.133682	0.0959576
59	1	-128.0344	-166.0143	37.97997	0.0001347131	0.01503222	0.003207916	0.002428801	0.001406342	0.01814297	0.0217631	0.008519145	0.005811292	0.007698475	0.02497279	0.07987174	0.254127	0.0980326	0.374296	0.273544
60	0	-129.0992	-167.824	38.72476	0.001031935	0.008794431	0.02392532	0.002945909	0.0003441209	0.01062845	0.0221595	0.02032816	0.01347071	0.003118543	0.02830324	0.04667165	0.285756	0.0787334	0.251821	0.383689
61	1	-126.4924	-164.4342	37.94179	0.0001347131	0.01571487	0.005055093	0.003028144	0.001443791	0.008510657	0.02088252	0.01004592	0.01049415	0.007826416	0.026354	0.07987174	0.246755	0.124201	0.363436	0.265608
62	0	-126.5347	-165.8902	39.35545	0.0006285965	0.01217637	0.01707636	0.002237134	0.0003772015	0.01062845	0.01963661	0.01309601	0.01347071	0.005882434	0.03936365	0.04099432	0.159591	0.0926411	0.296303	0.451465
63	1	-124.1588	-163.7108	39.55194	0.0001053317	0.01006404	0.01023552	0.002881563	0.002025316	0.004833283	0.02393519	0.01428706	0.01049415	0.005741725	0.03228502	0.05676232	0.246755	0.124201	0.363436	0.265608
64	0	-126.0756	-164.5904	38.51489	0.0007671842	0.01124842	0.01097915	0.002237134	0.0003772015	0.01062845	0.03244793	0.01680853	0.007890875	0.00349092	0.03936365	0.0475304	0.131654	0.129289	0.36662	0.372436
65	1	-123.9031	-165.4644	41.56126	0.000109516	0.007346057	0.007753766	0.0009566011	0.000518922	0.01329059	0.02393519	0.01428706	0.01223791	0.007316627	0.01986599	0.04642573	0.214594	0.108013	0.316068	0.361325
66	0	-125.2925	-164.5683	39.2758	0.0008035392	0.007101237	0.01511863	0.002237134	0.0003570201	0.006525687	0.02978407	0.01680853	0.0126679	0.005888979	0.0249937	0.05405866	0.274398	0.269469	0.220073	0.236059
