Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
66	-126.0793	-167.4735	41.39418	0.0033441	0.01805477	0.003630274	0.01681574	0.01241147	0.0007932842	0.02856058	0.004633367	0.01494468	0.003144472	0.02307602	0.02626558	0.444855	0.0231523	0.53003	0.00196312
67	-126.539	-166.0318	39.49283	0.005834073	0.01589155	0.005421162	0.01465134	0.01482279	0.0007932842	0.02856058	0.008150183	0.01299685	0.004512629	0.03632733	0.02626558	0.365594	0.111256	0.521537	0.00161335
68	-127.5973	-167.709	40.11162	0.006439806	0.01137964	0.003272787	0.0161441	0.01907025	0.0007932842	0.03897782	0.006219955	0.009998712	0.00534068	0.02428664	0.02626558	0.137636	0.0418847	0.819872	0.00060738
69	-125.6307	-166.3121	40.68141	0.006268878	0.01348641	0.003272787	0.007682967	0.007052352	0.00140601	0.03897782	0.003697525	0.01383458	0.006578418	0.03410606	0.02626558	0.0552929	0.0458841	0.898158	0.000665376
70	-124.2603	-165.5281	41.26775	0.003022774	0.01348641	0.004128947	0.008269031	0.005070831	0.0005796084	0.03897782	0.004600297	0.01182175	0.006578914	0.03410606	0.02626558	0.0804462	0.0446434	0.873873	0.00103758
71	-125.458	-166.717	41.25901	0.001426109	0.01098123	0.0043463	0.008269031	0.002984718	0.0006558261	0.03897782	0.004394906	0.0136485	0.0048675	0.0401758	0.02626558	0.500647	0.277833	0.215063	0.00645727
72	-125.9104	-168.6555	42.74502	0.002046925	0.01147891	0.00363073	0.01315413	0.003817603	0.0006558261	0.03358332	0.01138914	0.01178181	0.0048675	0.01977656	0.0263107	0.626328	0.206308	0.159697	0.00766695
73	-125.1858	-169.4379	44.25208	0.002357154	0.02010883	0.00363073	0.008798763	0.003681091	0.0005976025	0.01507155	0.00946576	0.01212351	0.004073695	0.01977656	0.02810226	0.626328	0.206308	0.159697	0.00766695
74	-126.9633	-170.1125	43.14913	0.002977094	0.02685781	0.004969072	0.009630308	0.002760682	0.0005976025	0.009652814	0.01051077	0.01268773	0.005300169	0.01640595	0.03619988	0.616141	0.219217	0.1571	0.00754225
75	-124.9403	-167.3221	42.38177	0.002086449	0.02336497	0.004184942	0.007180556	0.00300214	0.0006785401	0.01572844	0.006146296	0.01564429	0.003651049	0.02701062	0.0373594	0.805469	0.111094	0.0796145	0.00382224
76	-125.2521	-166.0627	40.8106	0.00356014	0.01559166	0.002991957	0.007180556	0.006354119	0.0008456833	0.01625341	0.007176744	0.01771176	0.003931798	0.02701062	0.05276038	0.707119	0.16047	0.114999	0.0174124
77	-125.2396	-166.9473	41.70767	0.00356014	0.01373193	0.007318077	0.007180556	0.01069629	0.0008009689	0.01199363	0.01112488	0.0154885	0.0047282	0.03050175	0.03549044	0.530919	0.224238	0.212645	0.0321975
78	-125.011	-164.1035	39.09249	0.004093029	0.00900623	0.01309475	0.009169955	0.01069629	0.001261172	0.01853741	0.0108617	0.0154885	0.00457147	0.03050175	0.0508515	0.463147	0.195614	0.29736	0.0438792
79	-125.5691	-165.3288	39.7597	0.001929155	0.005308339	0.02314893	0.01341944	0.005333605	0.001133019	0.02409057	0.006961045	0.01333321	0.003742507	0.03025552	0.0429679	0.502078	0.149885	0.227846	0.12019
80	-125.9257	-165.3634	39.4377	0.002643115	0.005001302	0.02314893	0.006945632	0.004236496	0.001191939	0.02504293	0.01414264	0.01011441	0.004258691	0.03025552	0.04778364	0.502078	0.149885	0.227846	0.12019
81	-126.3057	-164.3762	38.07047	0.002319699	0.004417125	0.01878019	0.00592114	0.008150928	0.001764829	0.02913199	0.01414264	0.01011441	0.004258691	0.02232524	0.06677956	0.422656	0.284363	0.191804	0.101177
82	-126.7646	-164.7659	38.00134	0.002061504	0.004544368	0.01602494	0.007234125	0.01058	0.002486035	0.02913199	0.01414264	0.01303967	0.004558207	0.04187854	0.04309898	0.241115	0.162223	0.164986	0.431676
83	-129.4791	-165.5689	36.08975	0.000895087	0.004544368	0.01188608	0.0166959	0.0179865	0.001942323	0.01455205	0.01414264	0.01073534	0.003459789	0.03804387	0.0725499	0.208538	0.0990912	0.428688	0.263683
84	-127.0353	-164.8135	37.77815	0.001116851	0.006072921	0.009967336	0.01110204	0.01791416	0.001787991	0.0196425	0.01778617	0.009551239	0.003825057	0.03786911	0.05432344	0.334932	0.248377	0.349255	0.0674359
85	-124.4667	-163.8431	39.37649	0.001488244	0.00750381	0.00793083	0.008523726	0.01292894	0.003018465	0.02719948	0.01272705	0.0121693	0.00592153	0.03786911	0.03808204	0.313626	0.296189	0.327038	0.0631462
86	-126.7531	-165.2356	38.48257	0.002566761	0.01011966	0.004852359	0.005440872	0.01292894	0.003018465	0.03312861	0.01475323	0.008052056	0.00552683	0.04561544	0.03808204	0.313626	0.296189	0.327038	0.0631462
87	-124.4923	-166.7783	42.28603	0.004819647	0.005137746	0.004852359	0.005386716	0.009628719	0.00209154	0.0241827	0.007627471	0.007237888	0.01026268	0.03035942	0.03538498	0.188656	0.154746	0.156196	0.500401
88	-123.9065	-164.4318	40.5253	0.004819647	0.01358752	0.005703142	0.00309687	0.01060517	0.003439568	0.03102657	0.006879289	0.01178191	0.01026268	0.02756537	0.03538498	0.165328	0.135612	0.260534	0.438526
89	-124.3136	-163.0659	38.75234	0.004819647	0.016182	0.008237693	0.003880029	0.01060517	0.003340056	0.02036926	0.006577678	0.01788861	0.01252078	0.02844258	0.0485894	0.175379	0.0830632	0.276373	0.465185
90	-127.1947	-165.8539	38.65921	0.003670153	0.03118648	0.009688511	0.004727289	0.007610804	0.005617148	0.02036926	0.008107217	0.01800737	0.008976039	0.01581198	0.0485894	0.166513	0.12942	0.262401	0.441667
91	-131.7706	-167.0536	35.28297	0.00376565	0.04564943	0.01468714	0.009960825	0.004899225	0.005617148	0.02137295	0.006567633	0.01254562	0.005043629	0.02323155	0.06196544	0.093147	0.140811	0.285498	0.480544
92	-131.109	-169.0813	37.9723	0.003482241	0.04564943	0.01065682	0.01205528	0.004899225	0.008240634	0.01764101	0.01194028	0.01169405	0.004495398	0.01929022	0.03901979	0.143681	0.117845	0.440387	0.298087
93	-131.2494	-170.1997	38.95032	0.002595154	0.04564943	0.01126127	0.008269442	0.004899225	0.004622832	0.01764101	0.0167483	0.007486354	0.003454035	0.0164475	0.04044646	0.104399	0.137878	0.541132	0.216591
94	-128.0402	-167.9612	39.92099	0.003455833	0.03838363	0.0125746	0.004184612	0.006025358	0.005695366	0.01789737	0.007787378	0.0136973	0.003454035	0.0164475	0.04044646	0.114409	0.126133	0.561316	0.198142
95	-130.5327	-165.4371	34.90443	0.003493264	0.03838363	0.01282139	0.001917862	0.008163995	0.01067648	0.02812371	0.007396356	0.0211178	0.003454035	0.01774098	0.06571045	0.152217	0.0552158	0.691969	0.100598
96	-128.8762	-165.4375	36.56132	0.003693525	0.03838363	0.008297911	0.001480774	0.008163995	0.008272288	0.01907618	0.007165874	0.020789	0.002280926	0.02951921	0.05570906	0.278566	0.101048	0.436284	0.184101
97	-132.8288	-165.1633	32.33453	0.004079932	0.03838363	0.007289263	0.001480774	0.00521081	0.01254019	0.04403949	0.005260087	0.020789	0.003659241	0.03074072	0.07060342	0.34288	0.124378	0.155215	0.377527
98	-129.8277	-164.5765	34.74878	0.002906709	0.03443979	0.009540488	0.001956184	0.008422623	0.009769513	0.03038828	0.005776139	0.020789	0.002260007	0.03074072	0.06352933	0.295547	0.245255	0.133788	0.325411
99	-126.1237	-163.0487	36.925	0.003602004	0.01286606	0.01403293	0.002057285	0.008378888	0.008304602	0.03182808	0.00863184	0.01268279	0.003183278	0.01970236	0.07401352	0.229433	0.190392	0.327558	0.252617
100	-125.1077	-162.4757	37.36796	0.003145064	0.00950849	0.01184265	0.00163405	0.00769968	0.00996902	0.03182808	0.00863184	0.01701595	0.002282727	0.04035254	0.05105128	0.229433	0.190392	0.327558	0.252617
101	-124.8422	-164.732	39.8898	0.008121343	0.00884802	0.007947941	0.00163405	0.006244155	0.009822761	0.03182808	0.01100531	0.01146211	0.002244998	0.02495164	0.04624332	0.034101	0.55813	0.355717	0.0520525
102	-130.6143	-168.517	37.90265	0.01083596	0.00998359	0.01099655	0.00208335	0.003101543	0.02819729	0.01112418	0.01240005	0.01070225	0.00294213	0.02495164	0.06242548	0.034101	0.55813	0.355717	0.0520525
103	-128.8672	-166.2962	37.429	0.005250852	0.01248743	0.01414298	0.007118752	0.004767049	0.02411988	0.01340212	0.01187766	0.009265375	0.004556581	0.02495164	0.06242548	0.02076	0.633358	0.301729	0.0441524
104	-126.2363	-164.9347	38.69844	0.002913106	0.01263403	0.009797618	0.007118752	0.006653243	0.01726901	0.01732034	0.009711591	0.01257095	0.002977399	0.02058732	0.06242548	0.02076	0.633358	0.301729	0.0441524
105	-124.5515	-165.2165	40.66499	0.002527479	0.01121109	0.006856532	0.004008855	0.004998782	0.01147795	0.01732034	0.008185247	0.0126909	0.003172938	0.01791401	0.06242548	0.0208609	0.636438	0.303197	0.0395043
106	-123.8441	-165.3283	41.48426	0.001661217	0.02051799	0.007187935	0.004008855	0.002953105	0.0122226	0.01732034	0.008185247	0.0126909	0.003386608	0.02157721	0.04308337	0.020337	0.620456	0.295583	0.0636246
107	-124.4292	-166.3998	41.97058	0.000998877	0.01427673	0.01049299	0.004429898	0.002953105	0.01024991	0.0110095	0.006993404	0.01414271	0.002679549	0.02873994	0.04308337	0.020337	0.620456	0.295583	0.0636246
108	-125.7098	-163.7307	38.02089	0.000998877	0.01660099	0.01049299	0.004335306	0.003213951	0.01214266	0.0178032	0.007132696	0.02412122	0.003403014	0.04191694	0.04642834	0.0147922	0.659213	0.314046	0.0119485
