Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
82	-172.8647	-175.8412	2.976409	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236	0.01613236
83	-172.7417	-175.626	2.884301	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114	0.01703114
84	-173.0215	-176.0614	3.039922	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262	0.01551262
85	-172.7219	-175.5518	2.829899	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198	0.01756198
86	-172.8793	-175.5403	2.660986	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019	0.01921019
87	-172.7218	-175.5508	2.828953	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121	0.01757121
88	-173.2743	-175.7803	2.506005	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247	0.02072247
89	-172.7343	-175.5163	2.781942	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993	0.01802993
90	-173.4362	-175.8949	2.458669	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436	0.02118436
91	-178.4941	-180.1219	1.627756	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224	0.02929224
92	-176.0146	-177.981	1.966448	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735	0.02598735
