Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
160	-34.94073	-53.34387	18.40313	0.00760573	0.0361287	0.0132786	0.0107359	0.0279006	0.0138122	0.0815081	0.211219	0.707273
161	-34.79969	-53.79515	18.99546	0.00473287	0.0199732	0.0170983	0.0107359	0.0279006	0.0138122	0.626803	0.222428	0.150769
162	-32.95961	-52.3874	19.42778	0.00473287	0.0199732	0.00599788	0.0107359	0.0279006	0.0138122	0.706567	0.0920642	0.201369
163	-31.9471	-48.65874	16.71164	0.053437	0.0410093	0.00599788	0.0107359	0.0279006	0.0138122	0.469857	0.0605927	0.46955
164	-42.87915	-55.58295	12.7038	0.0127896	0.0410093	0.0105503	0.0784247	0.00435112	0.108674	0.469857	0.0605927	0.46955
165	-45.29306	-60.43419	15.14113	0.0127896	0.0410093	0.00209851	0.103923	0.0277679	0.0056296	0.424877	0.0657336	0.509389
166	-33.24162	-51.13516	17.89354	0.0127896	0.0410093	0.0294194	0.00593028	0.0277679	0.0056296	0.521839	0.281566	0.196595
167	-33.75201	-51.71203	17.96002	0.0139918	0.0263014	0.0294194	0.00593028	0.0395667	0.0056296	0.0723803	0.319454	0.608165
168	-33.31588	-51.47128	18.1554	0.0123889	0.0263014	0.0294194	0.00593028	0.0186988	0.0230836	0.147249	0.649891	0.20286
169	-30.93669	-49.98213	19.04543	0.0170912	0.010679	0.0202668	0.00315034	0.0186988	0.0230836	0.179805	0.793578	0.0266176
170	-39.47816	-56.48982	17.01166	0.0170912	0.0118315	0.0202668	0.0542176	0.0186988	0.0230836	0.0587602	0.108699	0.83254
171	-34.07932	-52.37652	18.2972	0.0170912	0.00904081	0.0202668	0.0169265	0.0257728	0.0230836	0.101438	0.0733711	0.825191
172	-32.36378	-52.07166	19.70788	0.0125073	0.00904081	0.0202668	0.00321055	0.0196142	0.0113211	0.0926888	0.116767	0.790544
173	-46.51005	-60.86325	14.3532	0.0125073	0.00904081	0.157755	0.00321055	0.0196142	0.0113211	0.389652	0.100789	0.50956
174	-33.31495	-50.35948	17.04453	0.0479294	0.0346028	0.0192721	0.0198681	0.0196142	0.00305909	0.280677	0.0726008	0.646723
175	-43.75317	-57.62532	13.87214	0.109187	0.0224273	0.0192721	0.0225221	0.015534	0.0368576	0.242797	0.0497475	0.707455
176	-40.24557	-53.85178	13.60621	0.0908625	0.0336473	0.0051801	0.0225221	0.0435588	0.0368576	0.520515	0.10665	0.372835
177	-40.21835	-54.60861	14.39026	0.0908625	0.0336473	0.0143078	0.0225221	0.0435588	0.00759864	0.257847	0.0528311	0.689322
178	-40.80349	-59.53475	18.73126	0.0026806	0.03596	0.0154455	0.0246176	0.0147343	0.00759864	0.402373	0.0840927	0.513534
179	-41.47529	-61.08967	19.61438	0.0026806	0.00724068	0.0154455	0.0238164	0.0147343	0.0144439	0.415951	0.0821822	0.501867
180	-41.41821	-60.77028	19.35208	0.0026806	0.00724068	0.0154455	0.0238164	0.015976	0.0199372	0.466658	0.121105	0.412237
181	-37.43638	-53.71665	16.28027	0.0656455	0.00709738	0.0462593	0.0238164	0.015976	0.00517419	0.79157	0.205425	0.00300503
182	-39.72282	-54.78336	15.06055	0.0477304	0.00320175	0.0462593	0.0083308	0.015976	0.0737884	0.990527	0.0057131	0.00376033
183	-40.02615	-59.6588	19.63265	0.0016176	0.011022	0.0462593	0.00385889	0.0127241	0.00241048	0.990527	0.0057131	0.00376033
184	-39.16685	-54.09469	14.92784	0.0858914	0.0176185	0.0245045	0.00186377	0.0127241	0.0560919	0.112442	0.463146	0.424411
185	-32.06944	-51.94629	19.87684	0.0098371	0.0124399	0.0229486	0.00186377	0.0127241	0.0118089	0.177913	0.15056	0.671527
186	-42.40848	-59.35311	16.94464	0.0098371	0.0737386	0.0229486	0.0244069	0.00417027	0.0118089	0.137375	0.344107	0.518518
187	-42.26126	-62.37514	20.11388	0.00723672	0.00248606	0.0229486	0.0244069	0.00417027	0.00428768	0.0502547	0.125882	0.823863
188	-38.66155	-57.87455	19.213	0.00723672	0.00248606	0.0138779	0.0244069	0.036372	0.00428768	0.651714	0.238432	0.109854
189	-47.57302	-68.20084	20.62782	0.001831	0.00248606	0.0138779	0.0213067	0.0117411	0.00109735	0.121166	0.502688	0.376146
190	-32.45561	-50.91374	18.45813	0.0217814	0.0579721	0.0138779	0.00157974	0.0117411	0.00109735	0.139259	0.428428	0.432313
191	-33.65391	-50.58324	16.92934	0.0217814	0.0579721	0.0138779	0.00696589	0.0117411	0.0349648	0.231498	0.712198	0.0563043
192	-33.98477	-51.415	17.43023	0.0147802	0.0579721	0.0138779	0.00696589	0.024388	0.0164581	0.231498	0.712198	0.0563043
193	-30.55475	-48.60769	18.05294	0.0147802	0.0412791	0.0127486	0.00696589	0.0262215	0.0164581	0.597317	0.257405	0.145278
194	-29.42415	-46.36318	16.93903	0.0397939	0.0283054	0.0127486	0.00696589	0.0435682	0.0156723	0.733373	0.0882582	0.178369
