Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
119	-172.8914	-175.8806	2.989222	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733	0.01600733
120	-173.2431	-175.7589	2.5158	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689	0.02062689
121	-174.0107	-177.2569	3.246151	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028	0.01350028
122	-173.2589	-176.3662	3.107303	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513	0.01485513
123	-172.7307	-175.5965	2.86576	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205
124	-172.7307	-175.5965	2.86576	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205	0.01721205
125	-173.3378	-175.8246	2.486816	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971	0.02090971
126	-172.7431	-175.5109	2.767834	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676
127	-172.7431	-175.5109	2.767834	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676
128	-172.7431	-175.5109	2.767834	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676	0.0181676
