Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
61	1	-135.081	-173.4167	38.33572	0.001595493	0.01236726	0.005266217	0.01938617	0.004457028	0.01556609	0.008977323	0.006795789	0.05976666	0.01103428	0.0289636	0.01134223	0.448898	0.126708	0.319557	0.104837
62	0	-126.1634	-167.2472	41.08384	0.0006938121	0.0005491553	0.01653711	0.003087654	0.001964813	0.008719814	0.02755005	0.01072498	0.009139182	0.01846199	0.01607927	0.0451948	0.100883	0.460496	0.371136	0.0674854
63	1	-134.3542	-170.0776	35.72333	0.001486853	0.01883359	0.008241295	0.01668671	0.01064472	0.01192905	0.01395833	0.02071282	0.05976666	0.00941921	0.02084312	0.01848694	0.416789	0.114509	0.296699	0.172003
64	0	-127.9025	-166.2654	38.36289	0.0009747118	0.0005491553	0.01653711	0.002812842	0.002002037	0.00969307	0.02727827	0.01072498	0.01351625	0.02663592	0.02870292	0.04582575	0.100883	0.460496	0.371136	0.0674854
65	1	-133.2216	-168.9153	35.69366	0.00126889	0.02897469	0.005174723	0.01728309	0.01064472	0.008375491	0.01827537	0.01782965	0.05976666	0.003769349	0.01566279	0.02427345	0.456899	0.0456819	0.428801	0.0686181
66	0	-128.3063	-166.6317	38.3255	0.0009747118	0.000555382	0.01653711	0.006861583	0.004113645	0.01209146	0.02636162	0.01072498	0.01957406	0.01852008	0.02870292	0.04060038	0.0777707	0.4198	0.382783	0.119646
67	1	-129.1154	-168.2617	39.14631	0.0009724964	0.01790025	0.006850439	0.01377563	0.01064472	0.007335679	0.02641687	0.01632183	0.04713939	0.003867457	0.01474462	0.01163925	0.456899	0.0456819	0.428801	0.0686181
68	0	-126.3705	-166.3747	40.00418	0.0009031459	0.0008957144	0.0112216	0.004944893	0.004113645	0.01420462	0.03025838	0.01174062	0.01640168	0.01145984	0.01774412	0.04534946	0.0748826	0.477647	0.332267	0.115203
69	1	-128.3903	-169.0093	40.61902	0.001203651	0.01022219	0.00863641	0.01240675	0.01064472	0.007816672	0.02152208	0.01513986	0.04793373	0.004473664	0.01159917	0.01163925	0.246238	0.0634013	0.595127	0.0952342
70	0	-129.5509	-167.1064	37.55548	0.000662271	0.001113038	0.01102287	0.004944893	0.0060648	0.02156528	0.0162665	0.01817965	0.01470686	0.01145984	0.02019232	0.06695331	0.0875267	0.389447	0.388371	0.134655
71	1	-128.6317	-169.6769	41.04521	0.002677687	0.01420262	0.00768229	0.01421115	0.01284286	0.00864926	0.02152208	0.01513986	0.03755094	0.005274842	0.007686689	0.01163925	0.254094	0.033521	0.614113	0.0982724
72	0	-129.4328	-167.9274	38.49458	0.000662271	0.001082004	0.01102287	0.00613073	0.003545076	0.01022222	0.0162665	0.02524766	0.009293712	0.01193778	0.02456795	0.06398928	0.119996	0.325862	0.369535	0.184608
73	1	-129.0775	-169.6819	40.60448	0.001725759	0.009075977	0.0118928	0.01451361	0.01166303	0.01142572	0.0253118	0.01513986	0.03755094	0.006000534	0.008674762	0.0104053	0.254094	0.033521	0.614113	0.0982724
74	0	-129.8478	-168.0115	38.16372	0.0008803579	0.0006681553	0.007510788	0.004131701	0.002653532	0.009392329	0.02960023	0.01546077	0.005937442	0.03006159	0.01691036	0.06398928	0.255406	0.27572	0.312673	0.156201
75	1	-128.2217	-170.5508	42.32913	0.001725759	0.0132772	0.0118928	0.00775363	0.006493283	0.005279894	0.0188657	0.02147805	0.03489665	0.009402865	0.008434004	0.00705146	0.238819	0.0354202	0.648907	0.0768541
76	0	-131.6421	-169.3926	37.75049	0.002021424	0.0006681553	0.004846296	0.002977218	0.003955235	0.01264492	0.04154971	0.01479466	0.01575108	0.03006159	0.02316052	0.0387979	0.116876	0.510557	0.301088	0.0714791
77	1	-127.744	-170.2733	42.52922	0.001725759	0.01964701	0.01101424	0.00775363	0.004051217	0.00981558	0.0188657	0.01472207	0.03489665	0.007201696	0.008056388	0.006848927	0.242007	0.0225429	0.65757	0.0778801
78	0	-128.1178	-168.317	40.19929	0.002173123	0.0006681553	0.00465464	0.002977218	0.005244023	0.01264492	0.02955851	0.01610076	0.01432602	0.01928108	0.01587153	0.04383388	0.0826847	0.268538	0.524306	0.124472
79	1	-129.2393	-169.7998	40.56049	0.001573281	0.02385301	0.004274596	0.008635745	0.00255718	0.01104507	0.0188657	0.01530483	0.05191586	0.007201696	0.005318305	0.01326406	0.19227	0.0179098	0.522426	0.267395
80	0	-128.8892	-168.5963	39.70704	0.003254136	0.0007081219	0.003220507	0.002977218	0.005244023	0.01218719	0.02955851	0.01971692	0.01432602	0.0151152	0.02282703	0.04300223	0.0933869	0.303296	0.462735	0.140582
81	1	-129.4412	-169.501	40.05973	0.00300519	0.02797204	0.005695128	0.007152037	0.001956494	0.01104507	0.01659648	0.01140681	0.05191586	0.007458663	0.01464646	0.009845359	0.104108	0.00969767	0.741407	0.144787
82	0	-130.9628	-169.8554	38.89259	0.001710824	0.0006408532	0.003220507	0.001587348	0.005244023	0.01465211	0.02392599	0.01971692	0.02229836	0.0151152	0.02896998	0.04300223	0.131224	0.426182	0.165988	0.276606
83	1	-134.229	-169.288	35.05902	0.003281818	0.04086552	0.003979769	0.007152037	0.001288891	0.02596549	0.02457181	0.01341623	0.05465719	0.006720155	0.01976043	0.01583218	0.0843382	0.00785607	0.549248	0.358558
84	0	-133.2006	-168.0187	34.81811	0.002861982	0.0008897955	0.003079943	0.001587348	0.005244023	0.02265004	0.03708978	0.01917696	0.03114875	0.0151152	0.02551001	0.05548849	0.105252	0.087702	0.585186	0.22186
85	1	-133.5537	-171.3625	37.80874	0.002397342	0.04086552	0.005488272	0.007152037	0.000833275	0.01870115	0.02716507	0.009552886	0.0303403	0.01460436	0.02358217	0.009977952	0.0516088	0.00480734	0.637366	0.306218
86	0	-134.9965	-168.6079	33.61141	0.004352505	0.0009485617	0.003079943	0.001649674	0.002831866	0.035769	0.03110757	0.02083022	0.03114875	0.01448875	0.02262373	0.06278639	0.162364	0.161911	0.560325	0.1154
87	1	-133.6339	-169.7247	36.09081	0.003434506	0.04086552	0.005488272	0.00848168	0.0005065996	0.01870115	0.02744265	0.01827328	0.03791591	0.007437995	0.02980705	0.009068924	0.0552272	0.0051444	0.682054	0.257575
88	0	-128.3333	-166.7308	38.39749	0.003441569	0.0008258464	0.001959584	0.002255479	0.002831866	0.0226879	0.03110757	0.008693242	0.01762837	0.01050188	0.02839099	0.05459109	0.306723	0.150336	0.520266	0.0226757
89	1	-132.4598	-171.5481	39.08824	0.003572153	0.03227749	0.006573694	0.01465192	0.0008018585	0.0124652	0.02746758	0.01827328	0.03791591	0.007437995	0.01229415	0.004443968	0.127686	0.0118939	0.264905	0.595515
90	0	-126.3921	-167.2046	40.81257	0.002745987	0.001262492	0.001845159	0.00241337	0.002831866	0.01784037	0.03110757	0.008313469	0.008457783	0.006563125	0.02669933	0.05126902	0.306723	0.150336	0.520266	0.0226757
91	1	-133.4629	-171.6319	38.16901	0.003282035	0.03227749	0.004693014	0.02251348	0.0008018585	0.0162668	0.01601085	0.01438536	0.04742126	0.009328297	0.01352544	0.006639008	0.114591	0.0106741	0.340293	0.534442
