,spp1,spp2
287,Palicourea_conephoroides,Palicourea_quadrifolia
288,Palicourea_tinctoria,Palicourea_quadrifolia
289,Palicourea_jelskii,Palicourea_quadrifolia
290,Palicourea_allenii,Palicourea_quadrifolia
291,Palicourea_cyanococca,Palicourea_quadrifolia
292,Palicourea_hazenii,Palicourea_quadrifolia
293,Palicourea_tomentosa,Palicourea_quadrifolia
294,Psychotria_rosea,Palicourea_quadrifolia
295,Psychotria_suterella,Palicourea_quadrifolia
296,Palicourea_brachypoda,Palicourea_quadrifolia
297,Palicourea_sessilis,Palicourea_quadrifolia
298,Palicourea_divaricata,Palicourea_quadrifolia
299,Palicourea_racemosa,Palicourea_quadrifolia
300,Palicourea_subfusca,Palicourea_quadrifolia
301,Palicourea_topoensis,Palicourea_quadrifolia
302,Palicourea_brevicollis,Palicourea_quadrifolia
303,Palicourea_corymbifera,Palicourea_corymbifera
304,Palicourea_winkleri,Palicourea_corymbifera
305,Palicourea_dichotoma,Palicourea_corymbifera
306,Palicourea_gracilenta,Palicourea_corymbifera
307,Palicourea_obliquinervia,Palicourea_corymbifera
308,Palicourea_prunifolia,Palicourea_corymbifera
309,Palicourea_callithrix,Palicourea_corymbifera
310,Palicourea_glabra,Palicourea_corymbifera
311,Palicourea_acuminata,Palicourea_corymbifera
312,Palicourea_andina,Palicourea_corymbifera
313,Palicourea_didymocarpos,Palicourea_corymbifera
314,Palicourea_rhodothamna,Palicourea_corymbifera
315,Palicourea_triphylla,Palicourea_corymbifera
316,Palicourea_croceoides,Palicourea_corymbifera
317,Palicourea_crocea,Palicourea_corymbifera
318,Palicourea_lasiantha,Palicourea_corymbifera
319,Palicourea_nitidella,Palicourea_corymbifera
320,Palicourea_macrobotrys,Palicourea_corymbifera
321,Palicourea_guianensis,Palicourea_corymbifera
322,Palicourea_marcgravii,Palicourea_corymbifera
323,Palicourea_grandiflora,Palicourea_corymbifera
324,Palicourea_rigida,Palicourea_corymbifera
325,Palicourea_egensis,Palicourea_corymbifera
326,Palicourea_polycephala,Palicourea_corymbifera
327,Palicourea_deflexa,Palicourea_corymbifera
328,Palicourea_woronovii,Palicourea_corymbifera
329,Palicourea_bangii,Palicourea_corymbifera
330,Palicourea_flavifolia,Palicourea_corymbifera
331,Palicourea_reticulata,Palicourea_corymbifera
332,Palicourea_stipularis,Palicourea_corymbifera
333,Palicourea_flavescens,Palicourea_corymbifera
334,Palicourea_stenosepala,Palicourea_corymbifera
335,Palicourea_lineata,Palicourea_corymbifera
336,Palicourea_padifolia,Palicourea_corymbifera
337,Palicourea_lehmannii,Palicourea_corymbifera
338,Palicourea_thyrsiflora,Palicourea_corymbifera
339,Palicourea_demissa,Palicourea_corymbifera
340,Palicourea_amethystina,Palicourea_corymbifera
341,Palicourea_standleyana,Palicourea_corymbifera
342,Palicourea_seemannii,Palicourea_corymbifera
343,Palicourea_pyramidalis,Palicourea_corymbifera
344,Palicourea_luteonivea,Palicourea_corymbifera
345,Palicourea_sulphurea,Palicourea_corymbifera
346,Palicourea_apicata,Palicourea_corymbifera
347,Palicourea_loxensis,Palicourea_corymbifera
348,Palicourea_angustifolia,Palicourea_corymbifera
349,Palicourea_tetragona,Palicourea_corymbifera
