"species","ID","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_12","elev"
"Palicourea_anceps",1.34242268082221,1.31632860551103,1.49291122924853,1.43274488122413,3.09447112864164,1467
"Palicourea_anceps",1.36172783601759,1.1840913878227,1.57860727247554,1.34014655549115,3.01367969729119,2396
"Palicourea_anceps",1.38021124171161,1.1840913878227,1.57860727247554,1.34014655549115,3.01367969729119,2396
"Palicourea_anceps",1.39794000867204,1.18414587092465,1.51384286473826,1.33749921072604,3.01786771896351,2413
"Palicourea_anceps",1.41497334797082,1.27880691732506,1.5449907930557,1.40172785928957,3.18355453361886,1730
"Palicourea_anceps",1.43136376415899,1.18414587092465,1.51384286473826,1.33749921072604,3.01786771896351,2413
"Palicourea_anceps",1.44715803134222,0.932803404522577,1.83380169923536,1.17577266888588,3.06520612805431,3458
"Palicourea_anceps",1.46239799789896,1.22481246041066,1.56291343447393,1.33879502039323,3.39724458101039,2229
"Palicourea_anceps",1.47712125471966,1.25076449688094,1.56612184435064,1.36603051569488,3.39776625612645,2107
"Palicourea_anceps",1.49136169383427,1.1840913878227,1.57860727247554,1.34014655549115,3.01367969729119,2396
"Palicourea_anceps",1.50514997831991,1.16886193312577,1.54948902169391,1.29318571109253,3.37254380075907,2551
"Palicourea_anceps",1.51851393987789,1.1840913878227,1.57860727247554,1.34014655549115,3.01367969729119,2396
"Palicourea_anceps",1.53147891704226,1.21318117931401,1.52318895131411,1.3553174008314,3.15289959639375,2246
"Palicourea_anceps",1.54406804435028,1.21318117931401,1.52318895131411,1.3553174008314,3.15289959639375,2246
"Palicourea_anceps",1.55630250076729,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.568201724067,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.57978359661681,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.5910646070265,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.60205999132796,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.61278385671974,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.6232492903979,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.63346845557959,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.64345267648619,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.65321251377534,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.66275783168157,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.67209785793572,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.68124123737559,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.69019608002851,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.69897000433602,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.70757017609794,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.7160033436348,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.72427586960079,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.73239375982297,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.74036268949424,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.7481880270062,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.75587485567249,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.76342799356294,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.77085201164214,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.77815125038364,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.78532983501077,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.79239168949825,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.79934054945358,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.80617997398389,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.81291335664286,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.81954393554187,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.82607480270083,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.83250891270624,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.83884909073726,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.84509804001426,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.85125834871908,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.85733249643127,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.86332286012046,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.86923171973098,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.8750612633917,1.02408183192474,1.57826760008544,1.19493039816014,3.31048089146268,3078
"Palicourea_anceps",1.88081359228079,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.88649072517248,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.89209460269048,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.89762709129044,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",1.90308998699194,0.956338555469903,1.70928006285748,1.13846059833901,3.22737244228964,3279
"Palicourea_anceps",1.90848501887865,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.91381385238372,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.91907809237607,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.92427928606188,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.92941892571429,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.93449845124357,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.93951925261862,0.954750911290361,1.71935741403198,1.13924920915585,3.18808437371494,3300
"Palicourea_anceps",1.94448267215017,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",1.94939000664491,1.06702588994589,1.48891293131354,1.22868260345055,3.28891960566173,2913
"Palicourea_anceps",1.95424250943932,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.95904139232109,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.96378782734556,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.96848294855394,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.9731278535997,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.97772360528885,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.98227123303957,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.98677173426624,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
"Palicourea_anceps",1.9912260756925,0.987135364709873,1.61321285180278,1.17155094165887,3.3163897510732,3157
