Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
3300	-222.9652	-224.1207	1.155516	0.8234221	0.0503689
3310	-223.488	-224.4269	0.9388492	0.4878043	0.05278755
3320	-222.6696	-223.9315	1.261901	0.6261754	0.04751092
3330	-224.1192	-225.2119	1.092714	0.6861057	0.05725328
3340	-223.4918	-224.6318	1.139968	0.4642175	0.04013614
3350	-222.9307	-224.2386	1.307875	0.8037991	0.04396026
3360	-224.0775	-224.5412	0.4636377	0.3792026	0.05294572
3370	-224.4742	-224.673	0.1987503	1.387113	0.0522069
3380	-223.077	-224.173	1.095998	0.8750351	0.05078258
3390	-223.1099	-224.4706	1.360689	0.5784574	0.04126762
3400	-222.8483	-224.1624	1.314072	0.5759644	0.04310675
3410	-222.9085	-224.1157	1.20718	0.7308372	0.05067719
3420	-224.9616	-225.2299	0.2683055	1.447696	0.04303129
3430	-223.5404	-224.3454	0.8050443	1.129376	0.04660962
3440	-223.6762	-224.7507	1.074471	0.808801	0.05529748
3450	-222.7197	-223.9733	1.253644	0.6685789	0.04866871
3460	-224.8172	-224.8919	0.0746857	1.507535	0.0461351
3470	-222.8401	-224.1157	1.275567	0.808008	0.04525295
3480	-226.7619	-225.8482	-0.9137139	1.983815	0.04499834
3490	-222.7408	-223.9913	1.250537	0.7271354	0.04858504
3500	-224.1466	-224.5094	0.3627819	1.330755	0.0496129
3510	-223.0949	-224.492	1.397156	0.7331219	0.04187601
3520	-222.7378	-223.9898	1.25202	0.7453416	0.04818432
3530	-224.807	-224.8038	-0.003164586	1.481998	0.0525896
3540	-223.7773	-225.2631	1.4858	0.6832687	0.03864183
3550	-225.649	-225.1511	-0.4978608	1.708243	0.05352618
3560	-222.9206	-224.0804	1.159722	0.4970632	0.04340095
3570	-223.8175	-224.3891	0.5715248	1.226059	0.04933577
3580	-223.5104	-224.3793	0.8689093	1.021548	0.05230841
3590	-223.3984	-224.5484	1.150051	0.6696451	0.05399009
3600	-223.895	-225.205	1.310054	0.5066209	0.03824871
3610	-222.8167	-223.9972	1.180449	0.5780388	0.0493935
3620	-222.8361	-224.034	1.197873	0.822832	0.04830494
3630	-225.9012	-225.9395	0.03826868	1.391657	0.06073311
3640	-222.9334	-224.0656	1.132261	0.5549393	0.05022133
3650	-223.7031	-225.1826	1.47946	0.676584	0.03887113
3660	-224.7991	-226.3578	1.558687	0.7016092	0.03589748
3670	-222.8805	-224.0957	1.21525	0.7164754	0.05047587
3680	-223.6415	-224.555	0.9135161	1.099315	0.04405664
3690	-224.9792	-224.9294	-0.0497694	1.491878	0.05398002
3700	-223.8959	-224.7516	0.8557273	0.3958205	0.03946928
3710	-222.9718	-224.0912	1.119416	0.9074785	0.04776604
3720	-223.5092	-224.1941	0.6848813	0.3780533	0.04213104
3730	-226.1524	-226.496	0.343642	1.21642	0.06309746
3740	-222.8075	-224.1722	1.364679	0.6681175	0.04355063
