Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1180	-422.3305	-420.5448	-1.785683	2.220667	2.220667	2.220667	2.220667	2.220667	2.220667	0.02824451
1190	-422.4494	-420.696	-1.753391	2.183316	2.183316	2.183316	2.183316	2.183316	2.183316	0.02959508
1200	-420.8233	-421.8059	0.9825879	0.8778696	0.8778696	0.8778696	0.8778696	0.8778696	0.8778696	0.02462559
1210	-421.3239	-420.517	-0.8068095	1.758539	1.758539	1.758539	1.758539	1.758539	1.758539	0.0284379
1220	-421.8456	-422.2266	0.3810129	1.28796	1.28796	1.28796	1.28796	1.28796	1.28796	0.02301719
1230	-420.6775	-420.7472	0.06970004	1.374819	1.374819	1.374819	1.374819	1.374819	1.374819	0.02644535
1240	-421.2657	-420.6363	-0.6294599	1.664673	1.664673	1.664673	1.664673	1.664673	1.664673	0.02909296
1250	-421.0881	-421.5283	0.4401373	1.108818	1.108818	1.108818	1.108818	1.108818	1.108818	0.03022
1260	-421.2291	-422.3386	1.109533	0.7679016	0.7679016	0.7679016	0.7679016	0.7679016	0.7679016	0.02385608
1270	-422.7892	-423.6148	0.8255789	1.080677	1.080677	1.080677	1.080677	1.080677	1.080677	0.02156176
1280	-421.6475	-422.431	0.7835437	1.067725	1.067725	1.067725	1.067725	1.067725	1.067725	0.02297701
1290	-420.5551	-421.487	0.9318593	0.8261601	0.8261601	0.8261601	0.8261601	0.8261601	0.8261601	0.02729153
1300	-421.0754	-420.8305	-0.2449332	1.475791	1.475791	1.475791	1.475791	1.475791	1.475791	0.02946255
1310	-420.4564	-421.1914	0.7350424	1.018195	1.018195	1.018195	1.018195	1.018195	1.018195	0.02610646
1320	-423.4489	-421.0291	-2.419821	2.487733	2.487733	2.487733	2.487733	2.487733	2.487733	0.03046225
1330	-420.8176	-421.8382	1.020631	0.6821502	0.6821502	0.6821502	0.6821502	0.6821502	0.6821502	0.02672044
1340	-420.829	-421.8951	1.066151	0.7570791	0.7570791	0.7570791	0.7570791	0.7570791	0.7570791	0.02506105
1350	-421.9939	-421.0579	-0.9360181	1.881413	1.881413	1.881413	1.881413	1.881413	1.881413	0.02487839
