Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
91	-132.5539	-169.4927	36.93882	0.0002217148	0.02061899	0.01071179	0.01926129	0.0006119442	0.01329987	0.02558035	0.008842095	0.02277344	0.02271094	0.03204512	0.02247124	0.519976	0.026293	0.208433	0.245298
92	-133.4498	-170.6821	37.23229	0.0002217148	0.01717572	0.01867923	0.02385203	0.0006340565	0.01252759	0.02558035	0.01321649	0.01487832	0.02258543	0.02363743	0.02329682	0.519976	0.026293	0.208433	0.245298
93	-131.153	-170.5932	39.4402	0.0003035567	0.01374797	0.01867923	0.01072485	0.0008701329	0.008490552	0.03083656	0.009343423	0.01871135	0.02258543	0.02017411	0.02027369	0.181517	0.077982	0.321687	0.418815
94	-126.4358	-166.2877	39.85192	0.0002783612	0.01001553	0.01560866	0.007031992	0.0008065176	0.009007681	0.03083656	0.006972045	0.01734968	0.01659371	0.02623677	0.02998585	0.166421	0.0714967	0.378098	0.383984
95	-126.4832	-164.6393	38.1561	0.0004498101	0.006511661	0.01383153	0.004789942	0.001141396	0.006167477	0.03083656	0.009024088	0.02125249	0.02115597	0.02623677	0.04587322	0.161479	0.0693734	0.36687	0.402278
96	-125.3969	-165.7408	40.34398	0.0004450917	0.005637224	0.02186047	0.001785422	0.001859523	0.006040592	0.03193919	0.01080133	0.01594852	0.006799021	0.01693241	0.04587322	0.152811	0.0656497	0.400853	0.380686
97	-124.3876	-166.7534	42.36576	0.0004450917	0.004600337	0.01493434	0.003889411	0.002336751	0.008969794	0.02580002	0.01080133	0.01147355	0.008193322	0.0219864	0.0327635	0.089413	0.0730269	0.445897	0.391663
98	-123.9241	-167.2686	43.34453	0.0005756441	0.004600337	0.009201059	0.005511101	0.002799402	0.004859879	0.02547112	0.009355936	0.01147355	0.007075598	0.0229561	0.0327635	0.229861	0.187736	0.204059	0.378344
99	-124.9552	-166.1276	41.17246	0.0004083901	0.003443957	0.01248318	0.005511101	0.003852165	0.004859879	0.02950342	0.01194674	0.01520095	0.004403435	0.030387	0.03583768	0.31839	0.260041	0.282651	0.138917
100	-129.5707	-172.1774	42.6067	0.0008519167	0.002196649	0.01248318	0.004796578	0.003579522	0.002600349	0.0134426	0.01498935	0.02254891	0.004403435	0.030387	0.03156339	0.306034	0.264755	0.287775	0.141435
101	-129.8505	-171.2807	41.43017	0.0009641461	0.001723663	0.01248318	0.00454958	0.0068471	0.001216731	0.01802965	0.01214493	0.03505118	0.002306151	0.02636842	0.03363842	0.290112	0.250981	0.272803	0.186105
102	-129.7313	-171.2051	41.47387	0.0007266425	0.0007479279	0.01014357	0.006095758	0.007100242	0.001216731	0.02456225	0.01174304	0.02763528	0.00240765	0.02887921	0.03363842	0.343389	0.320555	0.0983621	0.237695
