Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
113	-174.8019	-177.3827	2.580764	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299
114	-174.8019	-177.3827	2.580764	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299	0.01999299
115	-174.6103	-177.3355	2.725195	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366	0.01858366
116	-175.5432	-178.6904	3.147288	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496	0.01446496
117	-175.3464	-177.7365	2.3901	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345
118	-175.3464	-177.7365	2.3901	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345
119	-175.3464	-177.7365	2.3901	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345
120	-175.3464	-177.7365	2.3901	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345	0.02185345
121	-175.4059	-177.7798	2.373939	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115
122	-175.4059	-177.7798	2.373939	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115	0.02201115
123	-174.6656	-177.5492	2.883575	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822	0.01703822
124	-175.0743	-177.5467	2.472461	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979	0.02104979
125	-176.2522	-178.4338	2.181681	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715	0.02388715
126	-174.5956	-177.3657	2.770101	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547
127	-174.5956	-177.3657	2.770101	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547
128	-174.5956	-177.3657	2.770101	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547	0.01814547
129	-174.6898	-177.59	2.900225	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575
130	-174.6898	-177.59	2.900225	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575	0.01687575
131	-174.5958	-177.3644	2.768642	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971	0.01815971
132	-175.6635	-178.8316	3.168136	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153	0.01426153
133	-174.9982	-178.0234	3.02523	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598	0.01565598
134	-174.9217	-177.9233	3.001568	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687	0.01588687
135	-174.7689	-177.3666	2.597674	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798	0.01982798
