Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
115	1	-174.7438	-177.6744	2.93063	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907	0.01657907
116	0	-174.6795	-177.3328	2.653297	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522
117	1	-174.5978	-177.3944	2.79657	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872
118	0	-174.9235	-177.9257	3.002165	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105
119	1	-174.5978	-177.3944	2.79657	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872
120	0	-174.9235	-177.9257	3.002165	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105	0.01588105
121	1	-174.5978	-177.3944	2.79657	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872	0.0178872
122	0	-174.6004	-177.3472	2.746756	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327	0.01837327
123	1	-174.7264	-177.648	2.921604	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714	0.01666714
124	0	-174.9425	-177.4624	2.519884	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704	0.02058704
125	1	-174.7593	-177.6976	2.938242	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479	0.01650479
126	0	-174.7353	-177.3518	2.616505	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423	0.01964423
127	1	-175.3106	-178.4127	3.102105	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585	0.01490585
128	0	-175.0665	-177.5416	2.475079	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424	0.02102424
129	1	-174.6806	-177.5747	2.894144	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509	0.01693509
130	0	-174.8894	-177.4307	2.541251	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855
131	1	-175.3263	-177.722	2.395669	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991	0.0217991
132	0	-174.8894	-177.4307	2.541251	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855	0.02037855
133	1	-174.6036	-177.4171	2.813488	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211	0.01772211
134	0	-174.744	-177.6748	2.930748	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792	0.01657792
135	1	-174.5964	-177.386	2.789571	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549	0.01795549
136	0	-176.661	-178.7647	2.103774	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736	0.02464736
